CODE;SUBCODE;X;Y;Z;RFLNAAM;DIJKPAAL;Afstand Profielpunten
999;999;160107.19108;424138.35753;4.886400;AD640M00;;
999;999;160107.38591;424139.33837;4.893400;AD640M00;;
999;999;160107.58073;424140.31921;4.898300;AD640M00;;
999;999;160107.77555;424141.30005;4.904100;AD640M00;;
999;999;160107.97038;424142.28089;4.892500;AD640M00;;
999;999;160108.16520;424143.26173;4.919000;AD640M00;;
999;999;160108.36002;424144.24257;4.887300;AD640M00;;
999;999;160108.55485;424145.22340;4.893100;AD640M00;;
999;999;160108.74967;424146.20424;4.906200;AD640M00;;
999;999;160108.94449;424147.18508;4.882500;AD640M00;;
999;999;160109.13931;424148.16592;4.909300;AD640M00;;
999;999;160109.33414;424149.14676;4.920000;AD640M00;;
999;999;160109.52896;424150.12760;4.883600;AD640M00;;
999;999;160109.72378;424151.10843;4.889800;AD640M00;;
999;999;160109.91861;424152.08927;4.913500;AD640M00;;
999;999;160110.11343;424153.07011;4.927600;AD640M00;;
999;999;160110.30825;424154.05095;4.935300;AD640M00;;
999;999;160110.50308;424155.03179;4.943400;AD640M00;;
999;999;160110.69790;424156.01263;4.928500;AD640M00;;
999;999;160110.89272;424156.99346;4.971600;AD640M00;;
999;999;160111.08755;424157.97430;4.937200;AD640M00;;
999;999;160111.28237;424158.95514;4.937500;AD640M00;;
999;999;160111.47719;424159.93598;4.977100;AD640M00;;
999;999;160111.67201;424160.91682;4.986600;AD640M00;;
999;999;160111.86684;424161.89766;4.968800;AD640M00;;
999;999;160112.06166;424162.87850;5.027300;AD640M00;;
999;999;160112.25648;424163.85933;5.018900;AD640M00;;
999;999;160112.45131;424164.84017;5.025800;AD640M00;;
999;999;160112.64613;424165.82101;5.053600;AD640M00;;
999;999;160112.84095;424166.80185;5.033000;AD640M00;;
999;999;160113.03578;424167.78269;5.062500;AD640M00;;
999;999;160113.23060;424168.76353;5.075000;AD640M00;;
999;999;160113.42542;424169.74436;5.114600;AD640M00;;
999;999;160113.62025;424170.72520;5.102500;AD640M00;;
999;999;160113.81507;424171.70604;5.064100;AD640M00;;
999;999;160114.00989;424172.68688;5.128800;AD640M00;;
999;999;160114.20471;424173.66772;5.134600;AD640M00;;
999;999;160114.39954;424174.64856;5.180700;AD640M00;;
999;999;160114.59436;424175.62939;5.150400;AD640M00;;
999;999;160114.78918;424176.61023;5.217900;AD640M00;;
999;999;160114.98401;424177.59107;5.270000;AD640M00;;
999;999;160115.17883;424178.57191;5.290000;AD640M00;;
999;999;160115.37365;424179.55275;5.323200;AD640M00;;
999;999;160115.56848;424180.53359;5.345000;AD640M00;;
999;999;160115.76330;424181.51442;5.361800;AD640M00;;
999;999;160115.95812;424182.49526;5.391700;AD640M00;;
999;999;160116.15295;424183.47610;5.424700;AD640M00;;
999;999;160116.34777;424184.45694;5.497000;AD640M00;;
999;999;160116.54259;424185.43778;5.459300;AD640M00;;
999;999;160116.73741;424186.41862;5.535000;AD640M00;;
999;999;160116.93224;424187.39946;5.556900;AD640M00;;
999;999;160117.12706;424188.38029;5.740600;AD640M00;;
999;999;160117.32188;424189.36113;5.721000;AD640M00;;
999;999;160117.51671;424190.34197;5.765600;AD640M00;;
999;999;160117.71153;424191.32281;5.791300;AD640M00;;
999;999;160117.90635;424192.30365;5.780000;AD640M00;;
999;999;160118.10118;424193.28449;5.830000;AD640M00;;
999;999;160118.29600;424194.26532;999999.000000;AD640M00;;
999;999;160118.49082;424195.24616;5.922000;AD640M00;;
999;999;160118.68565;424196.22700;5.908600;AD640M00;;
999;999;160118.88047;424197.20784;5.895200;AD640M00;;
999;999;160119.07529;424198.18868;5.920000;AD640M00;;
999;999;160119.27011;424199.16952;5.903800;AD640M00;;
999;999;160119.46494;424200.15035;5.910000;AD640M00;;
999;999;160119.65976;424201.13119;5.897900;AD640M00;;
999;999;160119.85458;424202.11203;5.890000;AD640M00;;
999;999;160120.04941;424203.09287;5.925400;AD640M00;;
999;999;160120.24423;424204.07371;5.943000;AD640M00;;
999;999;160120.43905;424205.05455;5.946400;AD640M00;;
999;999;160120.63388;424206.03538;5.931300;AD640M00;;
999;999;160120.82870;424207.01622;5.890000;AD640M00;;
999;999;160121.02352;424207.99706;5.905400;AD640M00;;
999;999;160121.21835;424208.97790;5.906000;AD640M00;;
999;999;160121.41317;424209.95874;5.923400;AD640M00;;
999;999;160121.60799;424210.93958;5.912800;AD640M00;;
999;999;160121.80281;424211.92042;5.921500;AD640M00;;
999;999;160121.99764;424212.90125;5.910000;AD640M00;;
999;999;160122.19246;424213.88209;5.912500;AD640M00;;
999;999;160122.38728;424214.86293;5.940000;AD640M00;;
999;999;160122.58211;424215.84377;5.942000;AD640M00;;
999;999;160122.77693;424216.82461;5.960700;AD640M00;;
999;999;160122.97175;424217.80545;6.269500;AD640M00;;
999;999;160123.16658;424218.78628;6.249000;AD640M00;;
999;999;160123.36140;424219.76712;6.257500;AD640M00;;
999;999;160123.55622;424220.74796;6.264600;AD640M00;;
999;999;160123.75105;424221.72880;6.377100;AD640M00;;
999;999;160123.94587;424222.70964;6.518000;AD640M00;;
999;999;160124.14069;424223.69048;6.685700;AD640M00;;
999;999;160124.33551;424224.67131;6.949500;AD640M00;;
999;999;160124.53034;424225.65215;7.464100;AD640M00;;
999;999;160124.72516;424226.63299;7.930900;AD640M00;;
999;999;160124.91998;424227.61383;8.578400;AD640M00;;
999;999;160125.11481;424228.59467;8.673700;AD640M00;;
999;999;160125.30963;424229.57551;8.771100;AD640M00;;
999;999;160125.50445;424230.55634;8.858900;AD640M00;;
999;999;160125.69928;424231.53718;999999.000000;AD640M00;;
999;999;160125.89410;424232.51802;999999.000000;AD640M00;;
