CODE;SUBCODE;X;Y;Z;RFLNAAM
99;999;75537.81;437432.11;-18;RB0.03
99;999;75537.39;437431.83;-17.94;RB0.03
99;999;75536.98;437431.55;-17.94;RB0.03
99;999;75536.57;437431.27;-17.94;RB0.03
99;999;75536.15;437430.99;-17.89;RB0.03
99;999;75535.74;437430.7;-17.88;RB0.03
99;999;75535.33;437430.42;-17.84;RB0.03
99;999;75534.92;437430.14;-17.82;RB0.03
99;999;75534.5;437429.86;-17.81;RB0.03
99;999;75534.09;437429.58;-17.79;RB0.03
99;999;75533.68;437429.29;-17.75;RB0.03
99;999;75533.26;437429.01;-17.74;RB0.03
99;999;75532.85;437428.73;-17.79;RB0.03
99;999;75532.44;437428.45;-17.79;RB0.03
99;999;75532.02;437428.17;-17.81;RB0.03
99;999;75531.61;437427.89;-17.81;RB0.03
99;999;75531.2;437427.6;-17.81;RB0.03
99;999;75530.79;437427.32;-17.84;RB0.03
99;999;75530.37;437427.04;-17.83;RB0.03
99;999;75529.96;437426.76;-17.85;RB0.03
99;999;75529.55;437426.48;-17.88;RB0.03
99;999;75529.13;437426.2;-17.89;RB0.03
99;999;75528.72;437425.91;-17.87;RB0.03
99;999;75528.31;437425.63;-17.87;RB0.03
99;999;75527.89;437425.35;-17.75;RB0.03
99;999;75527.48;437425.07;-17.73;RB0.03
99;999;75527.07;437424.79;-17.71;RB0.03
99;999;75526.66;437424.5;-17.74;RB0.03
99;999;75526.24;437424.22;-17.71;RB0.03
99;999;75525.83;437423.94;-17.69;RB0.03
99;999;75525.42;437423.66;-17.68;RB0.03
99;999;75525;437423.38;-17.66;RB0.03
99;999;75524.59;437423.1;-17.65;RB0.03
99;999;75524.18;437422.81;-17.64;RB0.03
99;999;75523.76;437422.53;-17.61;RB0.03
99;999;75523.35;437422.25;-17.61;RB0.03
99;999;75522.94;437421.97;-17.56;RB0.03
99;999;75522.52;437421.69;-17.54;RB0.03
99;999;75522.11;437421.4;-17.5;RB0.03
99;999;75521.7;437421.12;-17.47;RB0.03
99;999;75521.29;437420.84;-17.42;RB0.03
99;999;75520.87;437420.56;-17.4;RB0.03
99;999;75520.46;437420.28;-17.36;RB0.03
99;999;75520.05;437420;-17.34;RB0.03
99;999;75519.63;437419.71;-17.28;RB0.03
99;999;75519.22;437419.43;-17.21;RB0.03
99;999;75518.81;437419.15;-17.13;RB0.03
99;999;75518.39;437418.87;-17.06;RB0.03
99;999;75517.98;437418.59;-16.97;RB0.03
99;999;75517.57;437418.3;-16.9;RB0.03
99;999;75517.16;437418.02;-16.82;RB0.03
99;999;75516.74;437417.74;-16.69;RB0.03
99;999;75516.33;437417.46;-16.61;RB0.03
99;999;75515.92;437417.18;-16.53;RB0.03
99;999;75515.5;437416.9;-16.45;RB0.03
99;999;75515.09;437416.61;-16.36;RB0.03
99;999;75514.68;437416.33;-16.26;RB0.03
99;999;75514.26;437416.05;-16.16;RB0.03
99;999;75513.85;437415.77;-16.09;RB0.03
99;999;75513.44;437415.49;-15.95;RB0.03
99;999;75513.03;437415.2;-15.88;RB0.03
99;999;75512.61;437414.92;-15.74;RB0.03
99;999;75512.2;437414.64;-15.67;RB0.03
99;999;75511.79;437414.36;-15.54;RB0.03
99;999;75511.37;437414.08;-15.4;RB0.03
99;999;75510.96;437413.8;-15.28;RB0.03
99;999;75510.55;437413.51;-15.16;RB0.03
99;999;75510.13;437413.23;-15.01;RB0.03
99;999;75509.72;437412.95;-14.93;RB0.03
99;999;75509.31;437412.67;-14.79;RB0.03
99;999;75508.9;437412.39;-14.64;RB0.03
99;999;75508.48;437412.1;-14.5;RB0.03
